,0
0,DB00006
1,DB00007
2,DB00014
3,DB00035
4,DB00050
5,DB00091
6,DB00093
7,DB00104
8,DB00106
9,DB00114
10,DB00115
11,DB00116
12,DB00117
13,DB00118
14,DB00119
15,DB00120
16,DB00121
17,DB00122
18,DB00123
19,DB00125
20,DB00126
21,DB00127
22,DB00128
23,DB00129
24,DB00130
25,DB00131
26,DB00132
27,DB00133
28,DB00134
29,DB00135
30,DB00136
31,DB00138
32,DB00139
33,DB00140
34,DB00141
35,DB00142
36,DB00143
37,DB00144
38,DB00145
39,DB00146
40,DB00147
41,DB00148
42,DB00149
43,DB00150
44,DB00151
45,DB00152
46,DB00153
47,DB00154
48,DB00155
49,DB00156
50,DB00157
51,DB00158
52,DB00159
53,DB00160
54,DB00161
55,DB00162
56,DB00163
57,DB00165
58,DB00166
59,DB00167
60,DB00168
61,DB00169
62,DB00170
63,DB00171
64,DB00172
65,DB00173
66,DB00174
67,DB00175
68,DB00176
69,DB00177
70,DB00178
71,DB00179
72,DB00180
73,DB00181
74,DB00182
75,DB00183
76,DB00184
77,DB00185
78,DB00186
79,DB00187
80,DB00188
81,DB00189
82,DB00190
83,DB00191
84,DB00192
85,DB00193
86,DB00195
87,DB00197
88,DB00198
89,DB00199
90,DB00200
91,DB00201
92,DB00202
93,DB00203
94,DB00204
95,DB00205
96,DB00206
97,DB00207
98,DB00208
99,DB00209
100,DB00210
101,DB00211
102,DB00212
103,DB00213
104,DB00214
105,DB00215
106,DB00216
107,DB00217
108,DB00218
109,DB00219
110,DB00221
111,DB00222
112,DB00223
113,DB00226
114,DB00227
115,DB00228
116,DB00230
117,DB00231
118,DB00232
119,DB00233
120,DB00234
121,DB00235
122,DB00237
123,DB00239
124,DB00240
125,DB00241
126,DB00242
127,DB00243
128,DB00244
129,DB00245
130,DB00246
131,DB00247
132,DB00248
133,DB00252
134,DB00253
135,DB00255
136,DB00257
137,DB00261
138,DB00262
139,DB00264
140,DB00266
141,DB00268
142,DB00269
143,DB00270
144,DB00272
145,DB00273
146,DB00275
147,DB00276
148,DB00277
149,DB00278
150,DB00279
151,DB00280
152,DB00281
153,DB00282
154,DB00283
155,DB00284
156,DB00285
157,DB00287
158,DB00288
159,DB00289
160,DB00290
161,DB00292
162,DB00293
163,DB00294
164,DB00295
165,DB00296
166,DB00297
167,DB00298
168,DB00302
169,DB00304
170,DB00306
171,DB00307
172,DB00308
173,DB00309
174,DB00310
175,DB00311
176,DB00312
177,DB00313
178,DB00315
179,DB00316
180,DB00317
181,DB00318
182,DB00320
183,DB00321
184,DB00322
185,DB00323
186,DB00324
187,DB00325
188,DB00327
189,DB00328
190,DB00331
191,DB00332
192,DB00333
193,DB00334
194,DB00335
195,DB00337
196,DB00338
197,DB00340
