,UniProt ID,Nb_interactions,Gene Name,Name
0,P24941,136,CDK2,Cyclin-dependent kinase 2
1,P35348,116,ADRA1A,Alpha-1A adrenergic receptor
4,P14416,108,DRD2,D(2) dopamine receptor
6,P28223,108,HTR2A,5-hydroxytryptamine receptor 2A
10,P03372,107,ESR1,Estrogen receptor
11,P35367,104,HRH1,Histamine H1 receptor
12,P00734,104,F2,Prothrombin
13,P11229,101,CHRM1,Muscarinic acetylcholine receptor M1
15,P00918,99,CA2,Carbonic anhydrase 2
16,P07477,98,PRSS1,Trypsin-1
17,P08913,96,ADRA2A,Alpha-2A adrenergic receptor
20,P35368,90,ADRA1B,Alpha-1B adrenergic receptor
23,P08908,88,HTR1A,5-hydroxytryptamine receptor 1A
26,P14867,87,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1
29,P08172,86,CHRM2,Muscarinic acetylcholine receptor M2
31,P20309,84,CHRM3,Muscarinic acetylcholine receptor M3
33,P23219,80,PTGS1,Prostaglandin G/H synthase 1
34,P35354,79,PTGS2,Prostaglandin G/H synthase 2
35,P10275,79,AR,Androgen receptor
36,P34903,78,GABRA3,Gamma-aminobutyric acid receptor subunit alpha-3
39,P47869,78,GABRA2,Gamma-aminobutyric acid receptor subunit alpha-2
42,P07550,78,ADRB2,Beta-2 adrenergic receptor
44,P31644,74,GABRA5,Gamma-aminobutyric acid receptor subunit alpha-5
47,P28335,74,HTR2C,5-hydroxytryptamine receptor 2C
51,P18089,74,ADRA2B,Alpha-2B adrenergic receptor
54,P08588,72,ADRB1,Beta-1 adrenergic receptor
56,P25100,72,ADRA1D,Alpha-1D adrenergic receptor
59,P18825,69,ADRA2C,Alpha-2C adrenergic receptor
62,P37231,69,PPARG,Peroxisome proliferator-activated receptor gamma
63,P23975,68,SLC6A2,Sodium-dependent noradrenaline transporter
64,Q16445,67,GABRA6,Gamma-aminobutyric acid receptor subunit alpha-6
67,P48169,67,GABRA4,Gamma-aminobutyric acid receptor subunit alpha-4
70,P31645,66,SLC6A4,Sodium-dependent serotonin transporter
71,P04150,66,NR3C1,Glucocorticoid receptor
72,P18507,63,GABRG2,Gamma-aminobutyric acid receptor subunit gamma-2
75,O75469,62,NR1I2,Nuclear receptor subfamily 1 group I member 2
76,P21728,61,DRD1,D(1A) dopamine receptor
79,P28472,60,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3
81,P35372,60,OPRM1,Mu-type opioid receptor
82,Q8N1C3,59,GABRG1,Gamma-aminobutyric acid receptor subunit gamma-1
85,P08173,58,CHRM4,Muscarinic acetylcholine receptor M4
87,Q99928,58,GABRG3,Gamma-aminobutyric acid receptor subunit gamma-3
90,P18505,57,GABRB1,Gamma-aminobutyric acid receptor subunit beta-1
92,P22303,57,ACHE,Acetylcholinesterase
93,P47870,56,GABRB2,Gamma-aminobutyric acid receptor subunit beta-2
95,P18031,56,PTPN1,Tyrosine-protein phosphatase non-receptor type 1
96,Q16539,55,MAPK14,Mitogen-activated protein kinase 14
97,O14764,55,GABRD,Gamma-aminobutyric acid receptor subunit delta
99,P78334,55,GABRE,Gamma-aminobutyric acid receptor subunit epsilon
101,Q92731,54,ESR2,Estrogen receptor beta
102,O00591,54,GABRP,Gamma-aminobutyric acid receptor subunit pi
104,P27487,53,DPP4,Dipeptidyl peptidase 4
105,P41145,50,OPRK1,Kappa-type opioid receptor
106,Q9UN88,50,GABRQ,Gamma-aminobutyric acid receptor subunit theta
108,P11217,50,PYGM,"Glycogen phosphorylase, muscle form"
109,Q12809,49,KCNH2,Potassium voltage-gated channel subfamily H member 2
111,P07900,49,HSP90AA1,Heat shock protein HSP 90-alpha
112,P08912,48,CHRM5,Muscarinic acetylcholine receptor M5
114,P35462,48,DRD3,D(3) dopamine receptor
116,P12931,47,SRC,Proto-oncogene tyrosine-protein kinase Src
117,Q01959,46,SLC6A3,Sodium-dependent dopamine transporter
118,P41143,44,OPRD1,Delta-type opioid receptor
119,P17612,44,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha
120,P46098,43,HTR3A,5-hydroxytryptamine receptor 3A
122,Q07869,42,PPARA,Peroxisome proliferator-activated receptor alpha
123,P42262,42,GRIA2,Glutamate receptor 2
124,P41595,41,HTR2B,5-hydroxytryptamine receptor 2B
128,P28222,41,HTR1B,5-hydroxytryptamine receptor 1B
131,P06401,40,PGR,Progesterone receptor
132,P29474,40,NOS3,"Nitric oxide synthase, endothelial"
133,P43681,40,CHRNA4,Neuronal acetylcholine receptor subunit alpha-4
134,Q14524,40,SCN5A,Sodium channel protein type 5 subunit alpha
137,P00742,39,F10,Coagulation factor X
138,P35228,39,NOS2,"Nitric oxide synthase, inducible"
139,Q13936,38,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C
143,P34969,38,HTR7,5-hydroxytryptamine receptor 7
145,P21917,36,DRD4,D(4) dopamine receptor
147,P36544,36,CHRNA7,Neuronal acetylcholine receptor subunit alpha-7
148,P27338,35,MAOB,Amine oxidase [flavin-containing] B
150,Q8TCU5,35,GRIN3A,"Glutamate receptor ionotropic, NMDA 3A"
153,P28221,35,HTR1D,5-hydroxytryptamine receptor 1D
156,P11388,35,TOP2A,DNA topoisomerase 2-alpha
158,O14757,34,CHEK1,Serine/threonine-protein kinase Chk1
159,P15121,33,AKR1B1,Aldose reductase
160,P20248,33,CCNA2,Cyclin-A2
161,P21918,32,DRD5,D(1B) dopamine receptor
164,P00749,32,PLAU,Urokinase-type plasminogen activator
165,P13945,32,ADRB3,Beta-3 adrenergic receptor
167,P06276,31,BCHE,Cholinesterase
168,P00374,30,DHFR,Dihydrofolate reductase
169,P50406,30,HTR6,5-hydroxytryptamine receptor 6
171,P35968,30,KDR,Vascular endothelial growth factor receptor 2
172,Q15596,30,NCOA2,Nuclear receptor coactivator 2
173,P61925,30,PKIA,cAMP-dependent protein kinase inhibitor alpha
174,Q13224,29,GRIN2B,"Glutamate receptor ionotropic, NMDA 2B"
177,Q05586,29,GRIN1,"Glutamate receptor ionotropic, NMDA 1"
180,P0DP23,29,CALM1,Calmodulin
181,P07998,28,RNASE1,Ribonuclease pancreatic
182,Q9Y5Y9,28,SCN10A,Sodium channel protein type 10 subunit alpha
185,P04278,28,SHBG,Sex hormone-binding globulin
186,P56817,27,BACE1,Beta-secretase 1
187,Q07343,27,PDE4B,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
189,P00915,27,CA1,Carbonic anhydrase 1
